CountryCode,Language,IsOfficial,Percentage,_metadata_timestamp,_metadata_read_timestamp,_metadata_read_method,_metadata_source_type,_metadata_deleted,_metadata_change_type,_metadata_uuid,_metadata_log_file,_metadata_log_position
YUG,Slovak,F,0.7,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,c23cf7e6-e51e-4c9e-a9a6-70ddf366730d,,0
ZAF,Zulu,T,22.7,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,aaf5841d-fbdf-4483-8643-cffe42f40058,,0
MNG,Dariganga,F,1.4,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,b84a9cba-444b-42c9-aa6a-6305b73ef753,,0
COD,Boa,F,2.3,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,2d496fc3-64b2-4c4a-ad31-fe3fbd52fc9b,,0
LVA,Russian,F,32.5,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,8d77b040-c2ab-41ca-b01a-fed6b05cd7e0,,0
IND,Orija,F,3.3,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,3e4c4511-8dd0-482e-8ab0-ceee574a9e45,,0
GTM,Mam,F,2.7,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,26969fdc-4f08-406e-a098-0a2a619fdfac,,0
SDN,Fur,F,2.1,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,e2a1f616-feb9-44e6-936c-241346fd4c52,,0
CAN,Eskimo Languages,F,0.1,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,d493db8a-4715-4d63-9921-8375dfbf3171,,0
MKD,Turkish,F,4,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,8a9ee2ac-af69-4f9c-a6da-9413f1553866,,0
MKD,Albaniana,F,22.9,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,71e6607b-9846-4f2c-9fea-2a65b8235422,,0
